timestamp_utc,event,id,kind,family,year,throat,table,price,note
2026-08-20 21:28:43 UTC,Listed,3427NS,Pre-Loved,vision,2021,18,10′ (only) HomePro (HP2 Breeze),11999,
2026-08-20 21:28:43 UTC,Listed,7061,Pre-Loved,vision,2021,30,12′ Sit or Stand,25499,Computerized upgrades available
2026-08-20 21:28:43 UTC,Listed,8607,Pre-Loved,statler,2012,26,12′ Sit or Stand,35599,Can be upgraded to Ascend prior to delivery for $6000
2026-08-20 21:28:43 UTC,Listed,9907,Pre-Loved,statler,2017,26,12′ Sit or Stand,40749,2019 Statler retrofit on 2017 machine. Can be upgraded to Ascend prior to delivery for $6000
2026-08-20 21:28:43 UTC,Listed,6548M,Pre-Loved,statler,2018,30,12′ Sit or Stand,42899,Can be upgraded to Ascend prior to delivery for $6000
2026-08-20 21:28:43 UTC,Listed,18B (2023 retro),Retrofit,vision,,18,10′ or 12′ (your choice) HomePro (HP non-Breeze),11499,"This is a 2004-2008 machine with a 2023 Vision 2.0 Retrofit installed.  Since these electronics are 3 years old, the price is reduced. it's listed on BOTH side (retrofit and non-retrofit) right now."
2026-09-15 02:33:00 UTC,Sold (already sold when first tracked),0941-4A,Pre-Loved,vision,2017,22,12′ Sit or Stand,12500,
2026-09-15 02:33:00 UTC,Sold (already sold when first tracked),4909,Pre-Loved,statler,2009,30,12′ Sit or Stand,35399,Can be upgraded to Ascend prior to delivery for $6000
2026-09-15 02:33:00 UTC,Sold (already sold when first tracked),8933S,Pre-Loved,vision,2017,26,12′ Sit or Stand,17450,Computerized upgrades available
2026-09-15 02:33:00 UTC,Sold (already sold when first tracked),9528S,Pre-Loved,ascend,2023,26,12′ Sit or Stand,51399,
2026-09-15 02:33:00 UTC,Sold (already sold when first tracked),0993-4A,Pre-Loved,statler,2017,22,12′ Sit or Stand,32599,
2026-09-23 18:15:13 UTC,Sold,2133M,Retrofit,statler,2012,30,12′ Sit or Stand (ask about 14'),22499,2012 retrofit on a 2003 machine (from machine list sheet).
